Brand Name,Website,Logo Status,Logo Path,Message
Rothy's,rothys.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Allbirds,allbirds.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Veja,veja-store.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Dr. Martens,drmartens.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Birkenstock,birkenstock.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Teva,teva.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Crocs,crocs.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
UGG,ugg.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sorel,sorel.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Golden Goose,goldengoosedeluxebrand.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Common Projects,commonprojects.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
APL,athleticpropulsionlabs.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Tory Burch Shoes,toryburch.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Kate Spade,katespade.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Coach,coach.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Michael Kors,michaelkors.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rebecca Minkoff,rebeccaminkoff.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Strathberry,strathberry.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Polene,polene-paris.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
DeMellier,demellierlondon.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Cuyana,cuyana.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Senreve,senreve.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mansur Gavriel,mansurgavriel.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Staud Bags,staud.clothing,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Wandler,wandler.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
By Far,byfar.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Ratio et Motus,ratioetmotus.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mejuri,mejuri.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
AUrate,auratenewyork.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Catbird,catbirdnyc.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Gorjana,gorjana.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Kendra Scott,kendrascott.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Monica Vinader,monicavinader.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Missoma,missoma.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Baublebar,baublebar.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Uncommon James,uncommonjames.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Jennifer Fisher,jenniferfisherjewelry.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Anine Bing,aninebing.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rails,railsclothing.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
L'Academie,revolve.com/lacademie,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Lioness,lioness.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Motel Rocks,motelrocks.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Meshki,meshki.com.au,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
House of CB,houseofcb.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Edikted,edikted.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
SKIMS,skims.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Savage x Fenty,savagex.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
ThirdLove,thirdlove.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
True & Co,trueandco.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Lively,wearlively.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Victoria's Secret,victoriassecret.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aerie,ae.com/aerie,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Hanky Panky,hankypanky.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Cosabella,cosabella.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Eberjey,eberjey.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Jenni Kayne,jennikayne.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Quince,quince.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Italic,italic.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
ABLE,livefashionable.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Nisolo,nisolo.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Eileen Fisher,eileenfisher.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Amour Vert,amourvert.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Christy Dawn,christydawn.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Whimsy + Row,whimsyandrow.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
M.M.LaFleur,mmlafleur.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Argent,argentwork.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Babaa,babaa.es,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Kotn,kotn.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
StyleNanda,stylenanda.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Chuu,chuu.co.kr,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Mixxmix,mixxmix.us,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Stylenanda 3CE,stylenanda.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Ader Error,adererror.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Andersson Bell,anderssonbell.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Rocket X Lunch,rocketxlunch.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Nerdy,nerdy.co.kr,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Romantic Crown,romanticcrown.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sculptor,sculptorworld.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
W Concept,wconcept.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Kooding,kooding.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
YesStyle,yesstyle.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Stylevana,stylevana.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Naked Wardrobe,nakedwardrobe.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Oh Polly,ohpolly.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
I.AM.GIA,iamgia.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
The Frankie Shop,thefrankieshop.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aritzia,aritzia.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
TNA,aritzia.com/tna,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Wilfred,aritzia.com/wilfred,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Babaton,aritzia.com/babaton,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Sunday Best,aritzia.com/sunday-best,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Oak + Fort,oakandfort.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Aritzia Denim Forum,aritzia.com/denim-forum,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
Dynamite,dynamiteclothing.com,MISSING,,"Error: [Errno 8] nodename nor servname provided, or not k"
